seed,mobility_seed,method,family,objective,gap,p_opt,wall_time_seconds,shots,quantum_executions,n_switches,mean_sinr_db,edge_sinr_db,mean_spectral_efficiency,handover_failure_pct
0,100,MILP exact/best-known,classical,-4.749241985843107,0.0,,0.011290876999964894,0,0,1,12.469080602476032,0.10223182274927639,4.307100271608225,55.752830586681796
0,100,brute force (exact),classical,-4.749241985843107,0.0,,0.19691615299984733,0,0,1,12.469080602476032,0.10223182274927639,4.307100271608225,55.752830586681796
0,100,best static trajectory,classical,-4.603081602923368,0.14616038291973954,,0.0,0,0,0,12.352798843460777,0.11823276373212427,4.278783625397743,55.68906973621344
0,100,snapshot chasing,classical,-4.749241985843107,0.0,,0.0,0,0,1,12.469080602476032,0.10223182274927639,4.307100271608225,55.752830586681796
0,100,myopic hysteresis,classical,-4.749241985843107,0.0,,0.0,0,0,1,12.469080602476032,0.10223182274927639,4.307100271608225,55.752830586681796
0,100,greedy (single start),classical,-4.749241985843107,0.0,,0.000683089999938602,0,0,1,12.469080602476032,0.10223182274927639,4.307100271608225,55.752830586681796
0,100,greedy (32 starts),classical,-4.749241985843107,0.0,,0.014431550999915999,0,0,1,12.469080602476032,0.10223182274927639,4.307100271608225,55.752830586681796
0,100,simulated annealing,classical,-4.749241985843107,0.0,,0.028538952999952016,0,0,1,12.469080602476032,0.10223182274927639,4.307100271608225,55.752830586681796
0,100,QAOA-XY,quantum-reference,-4.749241985843109,-1.7763568394002505e-15,0.02788019995119349,0.27887927599999784,300,97,1,12.469080602476032,0.10223182274927639,4.307100271608225,55.752830586681796
0,100,annealing (no CD),quantum-reference,-4.749241985843109,-1.7763568394002505e-15,0.00021075215513164576,0.02349721799987492,300,1,1,12.469080602476032,0.10223182274927639,4.307100271608225,55.752830586681796
0,100,DCQO,quantum-reference,-4.749241985843109,-1.7763568394002505e-15,0.007665880396612076,0.18627205799998592,300,1,1,12.469080602476032,0.10223182274927639,4.307100271608225,55.752830586681796
0,100,BF-DCQO,quantum-reference,-4.749241985843109,-1.7763568394002505e-15,0.031103560978030735,0.6550707390001662,300,3,1,12.469080602476032,0.10223182274927639,4.307100271608225,55.752830586681796
1,101,MILP exact/best-known,classical,-4.358037972903595,0.0,,0.013952505999895948,0,0,0,12.796743106310025,0.38557306380769885,4.388310382220269,59.686141848415836
1,101,brute force (exact),classical,-4.358037972903595,0.0,,0.21417747600003167,0,0,0,12.796743106310025,0.38557306380769885,4.388310382220269,59.686141848415836
1,101,best static trajectory,classical,-4.358037972903595,0.0,,0.0,0,0,0,12.796743106310025,0.38557306380769885,4.388310382220269,59.686141848415836
1,101,snapshot chasing,classical,-4.232511843192082,0.12552612971151333,,0.0,0,0,3,12.896184098886417,0.33763760278901755,4.407047453508046,58.93821787523175
1,101,myopic hysteresis,classical,-4.358037972903595,0.0,,0.0,0,0,0,12.796743106310025,0.38557306380769885,4.388310382220269,59.686141848415836
1,101,greedy (single start),classical,-4.358037972903595,0.0,,0.0006420690001505136,0,0,0,12.796743106310025,0.38557306380769885,4.388310382220269,59.686141848415836
1,101,greedy (32 starts),classical,-4.358037972903595,0.0,,0.013794811999787271,0,0,0,12.796743106310025,0.38557306380769885,4.388310382220269,59.686141848415836
1,101,simulated annealing,classical,-4.358037972903595,0.0,,0.028106620000016846,0,0,0,12.796743106310025,0.38557306380769885,4.388310382220269,59.686141848415836
1,101,QAOA-XY,quantum-reference,-4.292063329778079,0.06597464312551615,0.005119434065548595,0.27551850800000466,300,97,1,12.863998113558031,0.40978772559250504,4.40171994007683,59.35828303688218
1,101,annealing (no CD),quantum-reference,-4.0185082495551585,0.3395297233484369,0.00019432322419267133,0.01781146300004366,300,1,4,12.908362950337489,0.3971918226724432,4.432697717169259,59.06288511122958
1,101,DCQO,quantum-reference,-4.3580379729035945,8.881784197001252e-16,0.005886763458559111,0.14621564500021123,300,1,0,12.796743106310025,0.38557306380769885,4.388310382220269,59.686141848415836
1,101,BF-DCQO,quantum-reference,-4.3580379729035945,8.881784197001252e-16,0.012056217490820047,0.5595204579999518,300,3,0,12.796743106310025,0.38557306380769885,4.388310382220269,59.686141848415836
2,102,MILP exact/best-known,classical,-4.01457172540244,0.0,,0.020054569999956584,0,0,1,13.36025366988175,1.103272188465297,4.579529779962113,46.85954481328758
2,102,brute force (exact),classical,-4.01457172540244,0.0,,0.19332234099988455,0,0,1,13.36025366988175,1.103272188465297,4.579529779962113,46.85954481328758
2,102,best static trajectory,classical,-3.9727253948555132,0.041846330546926325,,0.0,0,0,0,13.333453441460216,1.086620627265979,4.570567788381939,46.96120318687317
2,102,snapshot chasing,classical,-4.005442809503927,0.009128915898512169,,0.0,0,0,2,13.359813219323987,0.8994680809883713,4.582645173419304,46.35976641977506
2,102,myopic hysteresis,classical,-3.96615337563004,0.04841834977239978,,0.0,0,0,1,13.449397851406777,1.1199237496646146,4.610939902065159,46.66929814350914
2,102,greedy (single start),classical,-4.005442809503927,0.009128915898512169,,0.0005736379998779739,0,0,2,13.359813219323987,0.8994680809883713,4.582645173419304,46.35976641977506
2,102,greedy (32 starts),classical,-4.01457172540244,0.0,,0.01406313899997258,0,0,1,13.36025366988175,1.103272188465297,4.579529779962113,46.85954481328758
2,102,simulated annealing,classical,-4.01457172540244,0.0,,0.027310442000043622,0,0,1,13.36025366988175,1.103272188465297,4.579529779962113,46.85954481328758
2,102,QAOA-XY,quantum-reference,-4.005442809503926,0.009128915898513945,0.0002927090280131564,0.28620986599980824,300,97,2,13.359813219323987,0.8994680809883713,4.582645173419304,46.35976641977506
2,102,annealing (no CD),quantum-reference,-4.01457172540244,0.0,0.00017720765405549696,0.01894719200004147,300,1,1,13.36025366988175,1.103272188465297,4.579529779962113,46.85954481328758
2,102,DCQO,quantum-reference,-4.01457172540244,0.0,0.003870791874414024,0.16068452600006822,300,1,1,13.36025366988175,1.103272188465297,4.579529779962113,46.85954481328758
2,102,BF-DCQO,quantum-reference,-4.005442809503926,0.009128915898513945,0.0056873198178597345,0.5711348319998706,300,3,2,13.359813219323987,0.8994680809883713,4.582645173419304,46.35976641977506
3,103,MILP exact/best-known,classical,-4.384978733915598,0.0,,0.011862905000043611,0,0,0,14.23076074918891,1.0860553706151141,4.8587366000022705,51.25391064596865
3,103,brute force (exact),classical,-4.384978733915598,0.0,,0.19918266800004858,0,0,0,14.23076074918891,1.0860553706151141,4.8587366000022705,51.25391064596865
3,103,best static trajectory,classical,-4.384978733915599,-8.881784197001252e-16,,0.0,0,0,0,14.23076074918891,1.0860553706151141,4.8587366000022705,51.25391064596865
3,103,snapshot chasing,classical,-4.384978733915599,-8.881784197001252e-16,,0.0,0,0,0,14.23076074918891,1.0860553706151141,4.8587366000022705,51.25391064596865
3,103,myopic hysteresis,classical,-4.384978733915599,-8.881784197001252e-16,,0.0,0,0,0,14.23076074918891,1.0860553706151141,4.8587366000022705,51.25391064596865
3,103,greedy (single start),classical,-4.384978733915598,0.0,,0.00044201399987287004,0,0,0,14.23076074918891,1.0860553706151141,4.8587366000022705,51.25391064596865
3,103,greedy (32 starts),classical,-4.384978733915598,0.0,,0.024145100000168895,0,0,0,14.23076074918891,1.0860553706151141,4.8587366000022705,51.25391064596865
3,103,simulated annealing,classical,-4.384978733915598,0.0,,0.029396896999969613,0,0,0,14.23076074918891,1.0860553706151141,4.8587366000022705,51.25391064596865
3,103,QAOA-XY,quantum-reference,-4.167690873349315,0.2172878605662829,0.00010717285772617494,0.2882279650000328,300,97,2,14.046913129837863,0.9174314753594919,4.788361820098416,50.15112482113361
3,103,annealing (no CD),quantum-reference,-4.2872277908183625,0.09775094309723542,0.00019097954717806659,0.018505309000147463,300,1,1,14.191063056096946,1.0801649992687312,4.83914651261606,51.66103420448763
3,103,DCQO,quantum-reference,-4.2872277908183625,0.09775094309723542,0.004953642543011864,0.28878371199994035,300,1,1,14.191063056096946,1.0801649992687312,4.83914651261606,51.66103420448763
3,103,BF-DCQO,quantum-reference,-4.2872277908183625,0.09775094309723542,0.009057841813310106,0.5989513909999005,300,3,1,14.191063056096946,1.0801649992687312,4.83914651261606,51.66103420448763
4,104,MILP exact/best-known,classical,-5.045470556693437,0.0,,0.007981033999840292,0,0,0,13.736181114151416,1.2092038250328832,4.710581954956149,44.801429863696285
4,104,brute force (exact),classical,-5.045470556693437,0.0,,0.19815192199985177,0,0,0,13.736181114151416,1.2092038250328832,4.710581954956149,44.801429863696285
4,104,best static trajectory,classical,-5.045470556693436,8.881784197001252e-16,,0.0,0,0,0,13.736181114151416,1.2092038250328832,4.710581954956149,44.801429863696285
4,104,snapshot chasing,classical,-5.045470556693436,8.881784197001252e-16,,0.0,0,0,0,13.736181114151416,1.2092038250328832,4.710581954956149,44.801429863696285
